index	year	y1	y2	y3	y4	y5	b	x1	x2	x3	x4	x5	e	w1	w2	w3	w4	w5	TA
1459	2008	1374.242761772445	4072962.37097965	1488660.892369806	2045114.612540015	1911	2027892	524.75	29986.33327759745	2134721.380641746	110057.3002237144	4881870.626521625	844427.75	43.83094191263521	.2328961970708223	.0462166022012684	.0042331827870441	.0414811947337564	8136676.491258784
1463	2001	7332531.077095233	13157576.98840339	13673157.08467529	4041315.655600289	754521	332428	11191	414585.9468879529	19370113.59067959	225523.0031093007	14658755.11473136	2829245.3	62.54486291727145	.3680769585585488	.0440392910708896	.0714803857247193	.0307859607919465	42147094.64471328
1463	2002	6725971.725641824	16407015.20781588	12049913.85656914	4545398.506770428	693391	344044	11097.25	437039.6007874591	18814726.74846419	126147.9115757366	16710963.04526758	2797284.5	63.96950368704334	.3485296235095682	.0231004685080366	.0125422989463864	.0187016043407007	44264123.51506407
1463	2003	7941126.572788346	20371407.12396159	10845450.64925714	4671351.514237319	593085	267828	10612	513148.415103828	18063802.43052269	211176.7358529614	19874703.67866938	2955438.8	66.74518238642999	.2919647874133733	.0175019988332158	.0111355533641811	.0118159080758772	48736620.73675023
1463	2004	7543818.766960263	25205340.3044042	9990993.432585804	3794886.322512494	590590	207614	10726	540363.7356551479	20884301.10526109	258240.9692229729	22018619.17346762	3351861.8	70.25364271185201	.2819281658997191	.016836558132199	.0090997126827746	.0114050298946151	51498898.31655584
1463	2005	7636796.5	31424022.25	17178607.5	5308427.75	955353	244907	13372.75	556947.5	30899443.5	456497.25	25248571.75	6694765	76.62754482062402	.6950044663096612	.033176099110005	.0121008395998004	.0174433233040202	69396486.25
1463	2006	6191587.457114837	49967145.10037281	24842326.20166636	6987849.236571468	2886909	1672096	22068.25	809707.9023010752	37920322.72278846	725322.5206016148	43979377.52469842	9567398	102.5514959041284	.5590398541941029	.0579473589469436	.042806263065142	.0431423502467977	100657777.0532036
1463	2007	5979868.035955176	67105694.52269353	32955994.48036594	8421787.440851292	1375051	3531525	31385.25	1147966.337497484	36654941.9956873	1704385.391057886	70240350.18296008	13078079	69.60786512827696	.3773629105785422	.0539270149532827	.0314769207044662	.0316297206631486	129026375.5210348
1505	2001	265221.7294355683	7999540.142228843	1472340.561924352	2018676.688214384	164118	55871	6297.5	222016.0524327239	4336595.207472227	103045.2213964288	4676886.954244487	876393.5	44.25691777616598	.3824522047913408	.0522068924361189	.0049199292353791	.0336661225568632	13008812.71021258
1505	2002	274902.1604721819	7480802.463798163	1526397.275954752	2246530.820905072	161346	48407	6633	245462.571776494	3428343.335179135	125210.5324503458	4845970.853160608	926199.25	46.60415378079979	.3652756414098031	.0460261704913479	.002166950952066	.0200385126830175	12815436.87332809
1505	2003	300339.8905715912	7301245.418059534	1612213.355690188	2018677.445320346	158728	40858	6824	281543.08396747	2730188.302880671	145796.2603800544	4687353.028388559	933831.75	46.47803479481637	.3330049130286769	.0416747382958606	.0010034939167759	.012222451951857	12527945.18608071
1505	2004	291452.4290560748	7548744.65728369	1763684.455009389	1531718.603809392	172967	51781	7097.75	319851.4126241751	3193030.466095685	188925.3452010022	4069360.486179926	925759.25	45.84197219004915	.3052455753784917	.0301297124299749	.0030412136411559	.0094626769855547	12505050.87442424
1505	2005	260654.25	7980090.25	1869719	1539934.25	178615	40478	7212.25	346043.5	3357831	200403.25	4134591.5	943672.75	44.65943360255122	.2990866755191183	.0383146144043581	.01123235276873	.0201001719275048	12969606.5
1505	2006	222456.9850819815	8497889.895567434	2160127.364859228	1754778.041786046	193086	55359	7380.5	380005.0079601964	3994519.221629343	166335.2355803737	4565999.68168617	939732.75	44.71425130036344	.2930623690551436	.0440771706378469	.0179671442854337	.0353807625301349	13994931.0472423
1505	2007	188326.6975667785	8642084.861911174	2357723.203648584	1879980.629197744	229116	75240	6969	399595.2746609613	4623361.006789672	149804.832482601	4579757.239907713	991198.75	45.04839274949015	.2807748991395351	.0446985990001189	.0179703454897435	.0401307225915694	14437195.99385984
1505	2008	102175.7930065982	9409895.771017065	2664073.411830855	1975678.091031093	190300	211058	6813.25	414741.0285261039	5364977.888921416	139488.2181968438	4834636.890396926	1191832.3	46.53182117344306	.284793403747008	.0416527922019065	.0070429279225547	.0245941677776421	15477179.20470955
